gene_id,PTEN_normal_mean_Z,PTEN_normal_mean_RSEM,PTEN_normal_median_RSEM,PTEN_deleted_mean_Z,PTEN_deleted_mean_RSEM,PTEN_deleted_median_RSEM,Z_score_diff,log2_fold_change,log2_median_change
SPRR3,-0.04205251835645213,17.662570355191257,0,0.19278731192991144,133.71485901639343,0.7096,-0.23483983028636357,-2.92039258095532,-Inf
PHGR1,0.06861915393299868,46.98128524590164,3.7854,-0.22149660729170903,6.309060655737705,0,0.2901157612247077,2.8965890549113986,Inf
MCCD1,0.025659671116158734,14.955307103825136,0.4304,-0.15828457787626782,2.035801639344262,0,0.18394424899242656,2.8769886334389243,Inf
ODAM,-0.060700042406880976,15.13006106557377,0.33175,0.41966914938785077,111.12337049180329,0.6563,-0.48036919179473175,-2.8766725481358524,-0.9842589675056155
GLRA3,0.01898200698596362,108.13244371584699,2.3000499999999997,-0.1918190023217989,14.747498360655737,0.7143,0.21080100930776252,2.8742572957643873,1.6870631973223844
CCKBR,-0.07577402590569612,8.858321174863388,0.39635,0.2523079543265363,63.97563114754098,1.2358,-0.32808198023223245,-2.8524172642830035,-1.6405983970461642
RGR,-0.058020833756909716,3.370143306010929,0,0.4806912028901491,24.222201639344263,0.4975,-0.5387120366470588,-2.845448158078592,-Inf
SERPINA6,0.005354218162312319,945.1393454918033,5.2596,-0.17104680798560726,131.75094918032786,1.1203,0.17640102614791958,2.8427136914530533,2.2310679679874195
CTAG2,-0.059362575170070826,6.021051912568306,0,0.3730024770081316,42.87522459016393,0,-0.4323650521782024,-2.832056767190473,NaN
SPRR1A,-0.058875663277843555,8.64989849726776,0,0.3796087834694493,61.5662475409836,0.5986,-0.43848444674729287,-2.831384530484995,-Inf
PGC,-0.031830905271966366,35.1040956284153,0.9922,-0.0904661329566463,4.966052459016393,0.7488,0.05863522768467993,2.821467954307901,0.4060505223092735
SLC26A3,0.05220075274740255,123.50457636612022,7.5906,-0.151040232776774,17.624168852459015,0.7548,0.20324098552417655,2.8089373733377268,3.3300476001210004
KRT78,-0.033785270913905784,2.111453825136612,0,0.3888312567095875,14.742529508196723,0,-0.4226165276234933,-2.8036754791625498,NaN
RTBDN,0.02234520024912294,42.97441789617486,1.4131,-0.1467991852923418,6.16318524590164,0.9593,0.16914438554146471,2.801730038284948,0.5588096015219968
